Album,Artist,Track,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,duration_ms,time_signature,TrackURI,TrackID
reputation,Taylor Swift,Gorgeous,0.8,0.535,7,-6.684,1,0.135,0.0713,9.48e-06,0.213,0.451,92.027,209680,4,spotify:track:1ZY1PqizIl78geGM4xWlEA,1ZY1PqizIl78geGM4xWlEA
reputation,Taylor Swift,Getaway Car,0.562,0.689,2,-6.745,1,0.127,0.00465,2.23e-06,0.0888,0.351,172.054,233627,4,spotify:track:0VE4kBnHJUgtMf0dy6DRmW,0VE4kBnHJUgtMf0dy6DRmW
reputation,Taylor Swift,King of My Heart,0.675,0.703,0,-7.902,1,0.0382,0.00882,2.21e-06,0.0391,0.314,110.01,214320,4,spotify:track:7HuBDWi18s4aJM8UFnNheH,7HuBDWi18s4aJM8UFnNheH
reputation,Taylor Swift,Dancing With Our Hands Tied,0.624,0.691,0,-6.686,0,0.196,0.0604,1.1e-05,0.138,0.284,160.024,211507,4,spotify:track:7I7JbDv63ZJJsSi24DyJrz,7I7JbDv63ZJJsSi24DyJrz
reputation,Taylor Swift,Dress,0.719,0.469,0,-8.792,1,0.0533,0.0329,0.0,0.169,0.0851,120.085,230373,4,spotify:track:6oVxXO5oQ4pTpO8RSnkzvv,6oVxXO5oQ4pTpO8RSnkzvv
reputation,Taylor Swift,This Is Why We Can't Have Nice Things,0.567,0.789,5,-5.986,1,0.115,0.0156,0.0,0.382,0.438,163.96,207133,4,spotify:track:07NxDD1iKCHbAldceD7QLP,07NxDD1iKCHbAldceD7QLP
reputation,Taylor Swift,Call It What You Want,0.598,0.504,9,-9.874,1,0.0731,0.186,0.000221,0.34,0.252,163.954,203507,4,spotify:track:1GwMQaZz6Au3QLDbjbMdme,1GwMQaZz6Au3QLDbjbMdme
reputation,Taylor Swift,New Year's Day,0.661,0.151,0,-12.864,1,0.0354,0.921,0.0,0.13,0.23,94.922,235467,4,spotify:track:7F5oktn5YOsR9eR5YsFtqb,7F5oktn5YOsR9eR5YsFtqb
Lover,Taylor Swift,Afterglow,0.756,0.449,9,-8.746,1,0.0344,0.13,0.0,0.114,0.399,111.011,223293,4,spotify:track:1SymEzIT3H8UZfibCs3TYi,1SymEzIT3H8UZfibCs3TYi
Lover,Taylor Swift,Cornelia Street,0.824,0.624,0,-9.728,1,0.0827,0.781,0.000189,0.1,0.248,102.012,287267,4,spotify:track:12M5uqx0ZuwkpLp5rJim1a,12M5uqx0ZuwkpLp5rJim1a
